component,absolute_path,responsibility,work_package,exists,sha256
双入口和宿主,/Users/smkzw/Documents/康哲项目资料/AI/医学经理工作台/implementation/protocol-v3-workbench-mw_protocol_v3_phase0_20260809_111313/frontend/src/App.jsx,入口创建/feature flag/legacy整稿/导航，需承接同一StudyDefinition与当前Word,WP1,True,4b8c8020a1b6b35e10df70e575af9a14e8a9851619f38f028632f8091093e231
摘要导入,/Users/smkzw/Documents/康哲项目资料/AI/医学经理工作台/implementation/protocol-v3-workbench-mw_protocol_v3_phase0_20260809_111313/frontend/src/features/medical-writing/MedicalWritingSynopsisProjectIntake.jsx,选择文件、提取状态、确认,WP1,True,2b0720f581631a7f68be56a66b20f909c263b4746d810d38d7146d46fa488792
设计旅程,/Users/smkzw/Documents/康哲项目资料/AI/医学经理工作台/implementation/protocol-v3-workbench-mw_protocol_v3_phase0_20260809_111313/frontend/src/features/medical-writing/MedicalWritingAuthoringJourneySetup.jsx,推荐、补答、组决定,WP1/2,True,e6c772f974edc0a97b575bca8925e35139401a8450454f9aca3f2eef56121f54
设计候选卡,/Users/smkzw/Documents/康哲项目资料/AI/医学经理工作台/implementation/protocol-v3-workbench-mw_protocol_v3_phase0_20260809_111313/frontend/src/features/medical-writing/AuthoringCandidatePackagePanel.jsx,选项与typed确认,WP2/3,True,377a9f8f2dbea8528a01325c712de188a74cbd3dbf57ac6b285e01fdfeadce3c
新工作台,/Users/smkzw/Documents/康哲项目资料/AI/医学经理工作台/implementation/protocol-v3-workbench-mw_protocol_v3_phase0_20260809_111313/frontend/src/features/medical-writing/protocol-workbench/ProtocolIntakeWorkspace.jsx,brief/seed/run与工作区容器,WP1/5,True,3dc04f66f064115377f390886f8a8e0b44fca1f9165f59b6a10581c29d362818
稿件工作区,/Users/smkzw/Documents/康哲项目资料/AI/医学经理工作台/implementation/protocol-v3-workbench-mw_protocol_v3_phase0_20260809_111313/frontend/src/features/medical-writing/protocol-workbench/ManuscriptWorkspace.jsx,候选、语义稿与Office显示,WP1/5,True,19ed6af320a4cfa8b7d7b18ca81510f472ab2cbda6d6cf5f2b0eba621da20d86
Office宿主,/Users/smkzw/Documents/康哲项目资料/AI/医学经理工作台/implementation/protocol-v3-workbench-mw_protocol_v3_phase0_20260809_111313/frontend/src/features/medical-writing/protocol-workbench/office/GenOfficeFrame.jsx,iframe/dirty/保存历史/核对/下载,WP5,True,84cc658fbb3e9af278f0918758f123357a640af8ba492783ab42170367e61c42
浏览器桥,/Users/smkzw/Documents/康哲项目资料/AI/医学经理工作台/implementation/protocol-v3-workbench-mw_protocol_v3_phase0_20260809_111313/frontend/public/genoffice/bridge-shim.js,renderer持久化回执与pendingbytes,WP5,True,572f3875c76bf72585cd9f0fb6bbafbba78349edb98bcd23cd6b097fb15054e8
任务观察,/Users/smkzw/Documents/康哲项目资料/AI/医学经理工作台/implementation/protocol-v3-workbench-mw_protocol_v3_phase0_20260809_111313/frontend/src/features/medical-writing/useDurableMwJob.js,状态轮询/业务reconcile，不把等待超时当terminal,WP2,True,9ea2f2a5e29d3403f33198dbe4371d522b252fa5ab2173902f48d9bf7ae628c8
API组合,/Users/smkzw/Documents/康哲项目资料/AI/医学经理工作台/implementation/protocol-v3-workbench-mw_protocol_v3_phase0_20260809_111313/services/api/app/main.py,legacy端点/真实writer和运行路径,WP1/2,True,3fe283c19688e90848c5ae8955f0aad58dbb7fb7723d7d58e081a00e9bb6ef51
旅程存储,/Users/smkzw/Documents/康哲项目资料/AI/医学经理工作台/implementation/protocol-v3-workbench-mw_protocol_v3_phase0_20260809_111313/services/api/app/medical_writing_authoring_journey.py,journey StudyDefinition、复合采纳/来源,WP1/2,True,2f99358a684cd7f64e1cdac357abdd5e3ffac12b53c690a28e857bce40c5b3db
全文候选,/Users/smkzw/Documents/康哲项目资料/AI/医学经理工作台/implementation/protocol-v3-workbench-mw_protocol_v3_phase0_20260809_111313/services/api/app/medical_writing_full_draft.py,descriptor/chunks/source/review/adopt/decisions,WP1–5,True,52362538798e7e8b0539d488887f21fe0fe8f1ac0169f798c2b573d2f2ea8c2c
输出合同,/Users/smkzw/Documents/康哲项目资料/AI/医学经理工作台/implementation/protocol-v3-workbench-mw_protocol_v3_phase0_20260809_111313/services/api/app/ai_gateway.py,模型结构及状态验证,WP1/3,True,7f6dc59bdf362ff815cf02a33404a57c8a97622d9ac68e39b6468945a739cf6d
模型执行,/Users/smkzw/Documents/康哲项目资料/AI/医学经理工作台/implementation/protocol-v3-workbench-mw_protocol_v3_phase0_20260809_111313/services/api/app/ai_task_runner.py,来源核对/normalization/产品模型执行,WP1/3/4,True,d45e31b5cb2037d76e81044b7008ef9e42fd977474ac353adcd0b68c92647d20
